1,1 + 9 =,10
2,2 + 8 =,10
3,2 + 9 =,11
4,3 + 7 =,10
5,3 + 8 =,11
6,3 + 9 =,12
7,4 + 6 =,10
8,4 + 7 =,11
9,4 + 8 =,12
10,4 + 9 =,13
11,5 + 5 =,10
12,5 + 6 =,11
13,5 + 7 =,12
14,5 + 8 =,13
15,5 + 9 =,14
16,6 + 4 =,10
17,6 + 5 =,11
18,6 + 6 =,12
19,6 + 7 =,13
20,6 + 8 =,14
21,6 + 9 =,15
22,7 + 3 =,10
23,7 + 4 =,11
24,7 + 5 =,12
25,7 + 6 =,13
26,7 + 7 =,14
27,7 + 8 =,15
28,7 + 9 =,16
29,8 + 2 =,10
30,8 + 3 =,11
31,8 + 4 =,12
32,8 + 5 =,13
33,8 + 6 =,14
34,8 + 7 =,15
35,8 + 8 =,16
36,8 + 9 =,17
37,9 + 1 =,10
38,9 + 2 =,11
39,9 + 3 =,12
40,9 + 4 =,13
41,9 + 5 =,14
42,9 + 6 =,15
43,9 + 7 =,16
44,9 + 8 =,17
45,9 + 9 =,18
